OMNIWeb Plus Browser Results

Listing for omni_min data from 20140218 to 20140223
Selected parameters:
 1 ID for IMF spacecraft
 2 Field magnitude average, nT
 3 BZ, nT (GSM)
 4 Speed, km/s
 5 Proton Density, n/cc
 6 Proton Temperature, K
 7 Flow pressure, nPa

YYYY DOY HR MN  1      2       3       4      5        6     7 
2014  49  4 44 51    3.87    1.79   348.5   1.92   46287.  0.47
2014  49  4 45 51    3.87    1.77 99999.9 999.99 9999999. 99.99
2014  49  4 46 51    3.84    1.86 99999.9 999.99 9999999. 99.99
2014  49  4 47 51    3.90    1.60   347.6   1.89   33782.  0.46
2014  49  4 48 51    3.92    1.54   347.0   1.95   39786.  0.47
2014  49  4 49 51    3.91    1.47   351.3   2.04   43232.  0.50
2014  49  4 50 51    3.93    1.65   346.9   1.98   35589.  0.48
2014  49  4 51 51    3.93    1.52   345.6   1.94   34419.  0.46
2014  49  4 52 51    3.94    1.09   350.9   2.15   42427.  0.53
2014  49  4 53 51    3.94    1.38   348.4   2.07   43584.  0.50
2014  49  4 54 51    3.93    1.29   346.9   2.02   46460.  0.49
2014  49  4 55 51    3.81    1.75   347.5   2.01   50620.  0.49
2014  49  4 56 51    3.94    1.05 99999.9 999.99 9999999. 99.99
2014  49  4 57 51    3.92    1.21   351.9   2.12   42614.  0.53
2014  49  4 58 51    3.91    1.19   351.9   2.12   42614.  0.53
2014  49  4 59 51    3.88    0.65   364.9   1.80   41975.  0.48
2014  49  5  0 51    3.90    0.18   364.9   1.80   41975.  0.48
2014  49  5  1 51    3.93    1.04   364.9   1.80   41975.  0.48
2014  49  5  2 51    3.88    1.48 99999.9 999.99 9999999. 99.99
2014  49  5  3 51    3.87    1.28   356.8   2.17   54450.  0.55
2014  49  5  4 51    3.87    0.92   356.8   2.17   54450.  0.55
2014  49  5  5 51    3.88    1.67   360.1   1.98   54233.  0.51
2014  49  5  6 51    3.90    1.30   360.7   1.95   54196.  0.51
2014  49  5  7 51    3.94    1.02   357.0   2.06   46622.  0.53
2014  49  5  8 51    3.94    1.33   356.1   2.06   45545.  0.52
2014  49  5  9 51    3.89    1.72   346.7   2.04   38500.  0.49
2014  49  5 10 51    3.96    2.21   343.2   2.01   45903.  0.47
2014  49  5 11 51    3.96    1.78   344.7   1.94   56484.  0.46
2014  49  5 12 51    3.99    1.39   348.6   2.17   59463.  0.53
2014  49  5 13 51    3.96    1.32   352.2   2.06   42792.  0.51
2014  49  5 14 51    3.93    0.81   348.4   2.29   53922.  0.56
2014  49  5 15 51    3.90    0.64   344.9   2.07   42502.  0.49
2014  49  5 16 51    3.88    0.75   341.5   2.00   42985.  0.47
2014  49  5 17 51    3.92    0.28   341.9   1.99   44368.  0.47
2014  49  5 18 51    3.96    1.20   340.7   1.94   44415.  0.45
2014  49  5 19 51    3.90    1.39   342.9   1.91   38964.  0.45
2014  49  5 20 51    3.89    1.48   342.0   1.88   39917.  0.44
2014  49  5 21 51    3.96    1.53   345.0   1.88   38124.  0.45
2014  49  5 22 51    4.04    2.24   341.8   1.94   42487.  0.45
2014  49  5 23 51    4.01    2.53   336.1   1.97   52722.  0.45
2014  49  5 24 51    4.04    2.38 99999.9 999.99 9999999. 99.99
2014  49  5 25 51    4.02    2.50   344.8   2.18   33839.  0.52
2014  49  5 26 51    4.11    2.75   344.8   2.18   33839.  0.52
2014  49  5 27 99 9999.99 9999.99   344.8   2.18   33839.  0.52
2014  49  5 28 99 9999.99 9999.99 99999.9 999.99 9999999. 99.99
2014  49  5 29 51    5.99    5.27 99999.9 999.99 9999999. 99.99
2014  49  5 30 51    5.99    5.27 99999.9 999.99 9999999. 99.99
2014  49  5 31 51    6.01    5.30 99999.9 999.99 9999999. 99.99
2014  49  5 32 51    5.72    4.83 99999.9 999.99 9999999. 99.99
2014  49  5 33 51    5.90    5.08 99999.9 999.99 9999999. 99.99
2014  49  5 34 51    5.76    5.06   390.5   3.90   71677.  1.19
2014  49  5 35 51    5.91    5.09   390.5   3.90   71677.  1.19
2014  49  5 36 51    5.90    5.08   390.2   3.67   66848.  1.12
2014  49  5 37 51    5.95    5.24   390.1   3.58   64811.  1.09
2014  49  5 38 99 9999.99 9999.99   390.1   3.58   64811.  1.09
2014  49  5 39 99 9999.99 9999.99 99999.9 999.99 9999999. 99.99
2014  49  5 40 99 9999.99 9999.99 99999.9 999.99 9999999. 99.99
2014  49  5 41 51    6.06    5.44   393.0   3.44   65924.  1.06
2014  49  5 42 99 9999.99 9999.99   393.0   3.44   65924.  1.06
2014  49  5 43 99 9999.99 9999.99 99999.9 999.99 9999999. 99.99
2014  49  5 44 99 9999.99 9999.99 99999.9 999.99 9999999. 99.99
2014  49  5 45 51    6.07    5.79 99999.9 999.99 9999999. 99.99
2014  49  5 46 99 9999.99 9999.99 99999.9 999.99 9999999. 99.99
2014  49  5 47 99 9999.99 9999.99 99999.9 999.99 9999999. 99.99
2014  49  5 48 99 9999.99 9999.99 99999.9 999.99 9999999. 99.99
2014  49  5 49 51    6.07    5.59 99999.9 999.99 9999999. 99.99
2014  49  5 50 99 9999.99 9999.99 99999.9 999.99 9999999. 99.99
2014  49  5 51 99 9999.99 9999.99 99999.9 999.99 9999999. 99.99
2014  49  5 52 51    6.04    5.28 99999.9 999.99 9999999. 99.99
2014  49  5 53 51    6.04    5.28 99999.9 999.99 9999999. 99.99
2014  49  5 54 99 9999.99 9999.99 99999.9 999.99 9999999. 99.99
2014  49  5 55 99 9999.99 9999.99 99999.9 999.99 9999999. 99.99
2014  49  5 56 51    5.87    5.14 99999.9 999.99 9999999. 99.99
2014  49  5 57 99 9999.99 9999.99 99999.9 999.99 9999999. 99.99
2014  49  5 58 99 9999.99 9999.99 99999.9 999.99 9999999. 99.99
2014  49  5 59 51    5.37    2.95 99999.9 999.99 9999999. 99.99
2014  49  6  0 99 9999.99 9999.99 99999.9 999.99 9999999. 99.99
2014  49  6  1 99 9999.99 9999.99 99999.9 999.99 9999999. 99.99
